Category: All categories

Week,Amazon,Prime,Echo,Alexa
2023-08-06,62,8,1,2
2023-08-13,62,8,1,2
2023-08-20,66,7,1,1
2023-08-27,62,8,1,2
2023-09-03,62,7,1,1
2023-09-10,60,7,1,1
2023-09-17,63,10,1,1
2023-09-24,61,8,1,1
2023-10-01,67,10,1,2
2023-10-08,78,13,2,2
2023-10-15,68,9,1,2
2023-10-22,69,10,1,2
2023-10-29,68,9,1,2
2023-11-05,76,10,1,2
2023-11-12,84,9,2,2
2023-11-19,100,9,2,3
2023-11-26,85,9,2,3
2023-12-03,80,9,2,2
2023-12-10,83,10,1,2
2023-12-17,72,10,1,3
2023-12-24,69,11,2,4
2023-12-31,64,10,2,3
2024-01-07,63,8,2,2
2024-01-14,61,8,2,2
2024-01-21,58,7,1,2
2024-01-28,59,8,1,2
2024-02-04,57,8,1,2
2024-02-11,54,8,1,2
2024-02-18,52,8,1,1
2024-02-25,54,7,1,1
2024-03-03,54,8,1,1
2024-03-10,54,7,1,2
2024-03-17,57,7,1,2
2024-03-24,56,8,1,2
2024-03-31,56,7,1,2
2024-04-07,56,9,1,2
2024-04-14,55,9,1,1
2024-04-21,55,7,1,1
2024-04-28,58,9,1,1
2024-05-05,54,10,1,1
2024-05-12,54,7,1,1
2024-05-19,54,8,1,1
2024-05-26,52,7,1,2
2024-06-02,53,7,1,1
2024-06-09,51,7,1,1
2024-06-16,50,7,1,1
2024-06-23,50,7,1,1
2024-06-30,52,8,1,1
2024-07-07,52,8,1,1
2024-07-14,71,13,1,2
2024-07-21,55,7,1,2
2024-07-28,56,7,1,2
2024-08-04,54,6,1,1
