Category: All categories

Week,Apple,iPhone,iPad,Macintosh
2023-08-06,33,50,12,2
2023-08-13,31,49,12,2
2023-08-20,32,52,13,1
2023-08-27,33,51,13,2
2023-09-03,35,54,14,2
2023-09-10,59,100,14,2
2023-09-17,48,82,15,2
2023-09-24,42,73,14,3
2023-10-01,38,61,13,3
2023-10-08,37,59,13,3
2023-10-15,36,51,14,3
2023-10-22,37,54,14,2
2023-10-29,38,55,13,3
2023-11-05,39,55,14,4
2023-11-12,42,60,15,4
2023-11-19,49,68,19,4
2023-11-26,40,58,14,3
2023-12-03,36,56,13,3
2023-12-10,36,55,13,3
2023-12-17,36,52,12,3
2023-12-24,45,68,15,3
2023-12-31,37,55,12,3
2024-01-07,36,49,12,3
2024-01-14,34,49,12,3
2024-01-21,34,50,13,10
2024-01-28,36,51,13,13
2024-02-04,43,51,13,14
2024-02-11,37,51,12,12
2024-02-18,36,48,13,12
2024-02-25,35,49,13,12
2024-03-03,37,48,12,6
2024-03-10,35,49,13,5
2024-03-17,34,48,12,4
2024-03-24,33,50,12,4
2024-03-31,34,52,11,4
2024-04-07,34,49,11,4
2024-04-14,34,47,12,4
2024-04-21,33,49,13,4
2024-04-28,33,46,11,3
2024-05-05,36,49,15,3
2024-05-12,34,48,14,3
2024-05-19,32,47,13,2
2024-05-26,32,49,12,3
2024-06-02,32,50,13,3
2024-06-09,39,50,13,3
2024-06-16,33,49,12,3
2024-06-23,32,45,11,3
2024-06-30,31,47,12,3
2024-07-07,35,50,12,3
2024-07-14,36,50,12,3
2024-07-21,35,52,11,3
2024-07-28,35,52,11,3
2024-08-04,36,51,12,3
