Category: All categories

Week,Google,YouTube,Android,Chrome
2023-08-06,85,66,8,2
2023-08-13,79,66,8,2
2023-08-20,82,67,8,2
2023-08-27,83,66,8,2
2023-09-03,85,64,8,2
2023-09-10,84,66,8,2
2023-09-17,84,70,8,2
2023-09-24,100,69,8,2
2023-10-01,80,66,9,2
2023-10-08,84,66,8,2
2023-10-15,80,67,8,2
2023-10-22,82,69,9,3
2023-10-29,79,71,9,2
2023-11-05,83,75,8,3
2023-11-12,81,69,8,3
2023-11-19,82,68,9,2
2023-11-26,82,65,8,2
2023-12-03,81,70,8,2
2023-12-10,81,70,8,2
2023-12-17,72,70,8,2
2023-12-24,68,74,10,2
2023-12-31,75,70,9,2
2024-01-07,83,68,8,3
2024-01-14,86,72,7,3
2024-01-21,83,68,7,3
2024-01-28,79,70,8,3
2024-02-04,83,70,8,3
2024-02-11,83,68,7,3
2024-02-18,84,64,7,3
2024-02-25,86,68,7,3
2024-03-03,86,66,7,3
2024-03-10,86,70,7,3
2024-03-17,82,69,7,3
2024-03-24,78,66,7,3
2024-03-31,85,66,7,2
2024-04-07,85,65,7,2
2024-04-14,84,69,7,2
2024-04-21,86,67,7,3
2024-04-28,81,66,6,2
2024-05-05,84,67,7,2
2024-05-12,86,63,7,2
2024-05-19,83,63,7,2
2024-05-26,82,64,7,2
2024-06-02,84,64,7,2
2024-06-09,82,62,6,2
2024-06-16,78,59,7,2
2024-06-23,79,57,6,2
2024-06-30,78,57,6,2
2024-07-07,84,57,7,2
2024-07-14,80,58,7,2
2024-07-21,84,61,7,2
2024-07-28,88,61,7,2
2024-08-04,84,60,7,2
