Category: All categories

Week,Microsoft,Windows,Surface,Azure
2023-08-06,22,86,7,9
2023-08-13,21,83,6,9
2023-08-20,22,82,7,9
2023-08-27,23,86,7,9
2023-09-03,23,87,8,10
2023-09-10,22,83,8,8
2023-09-17,25,87,8,9
2023-09-24,24,86,8,9
2023-10-01,22,80,8,7
2023-10-08,26,93,8,9
2023-10-15,27,94,8,10
2023-10-22,26,95,8,10
2023-10-29,24,90,7,8
2023-11-05,25,97,8,10
2023-11-12,29,96,9,9
2023-11-19,33,97,10,10
2023-11-26,25,91,8,10
2023-12-03,23,90,7,10
2023-12-10,27,80,7,9
2023-12-17,26,74,6,8
2023-12-24,24,65,6,3
2023-12-31,26,75,6,6
2024-01-07,30,82,7,9
2024-01-14,32,78,7,10
2024-01-21,36,98,7,10
2024-01-28,39,97,7,11
2024-02-04,33,84,7,11
2024-02-11,35,83,7,11
2024-02-18,33,100,6,10
2024-02-25,35,99,7,11
2024-03-03,31,82,7,12
2024-03-10,30,83,7,11
2024-03-17,31,74,7,11
2024-03-24,27,72,6,9
2024-03-31,27,72,6,9
2024-04-07,29,75,7,11
2024-04-14,32,76,7,10
2024-04-21,32,76,7,11
2024-04-28,25,65,5,9
2024-05-05,26,60,5,9
2024-05-12,28,68,6,10
2024-05-19,28,68,8,9
2024-05-26,26,68,6,9
2024-06-02,27,69,6,10
2024-06-09,26,66,6,10
2024-06-16,28,63,6,9
2024-06-23,27,61,6,10
2024-06-30,28,61,6,10
2024-07-07,28,69,6,10
2024-07-14,56,72,7,11
2024-07-21,32,69,6,10
2024-07-28,35,66,6,10
2024-08-04,33,70,6,11
